"Govt Pub Number",Title,Format,"Office or Center",Program/Campaign,"Publication Date","Item Owner","Available Qty","Allocated Qty","On Hand Qty","Max Order Qty","Published Status","Stock Status","Display Mode",Pallets,"Location of Product"
SMA10-4557,"Substance Abuse Specialists in Child Welfare Agencies and Dependency Courts","Guidelines or Manual",,,"08/01/2010 - 08:00",,0,0,0,100,Published,"ELECTRONIC ONLY","Download Only",0,
SMA10-4574,"Alcohol and Depression: Jorge's journey to a better life (Based on TIP 42) (Spanish Version)",,,,"09/01/2010 - 08:00",,0,0,0,10,Published,"ELECTRONIC ONLY","Download Only",0,
SMA10-4576,"Using Financial Information as a Nonfinancial CEO",,,,"07/01/2010 - 08:00",,0,0,0,1,"Not Published","ELECTRONIC ONLY","Download Only",0,
SMA10-4577,"Governance and the Board of Directors",,,,"07/01/2010 - 08:00",,0,0,0,1,"Not Published","ELECTRONIC ONLY","Download Only",0,
SMA10-4578,"Marketing as Collaboration",,,,"07/01/2010 - 08:00",,0,0,0,1,"Not Published","ELECTRONIC ONLY","Download Only",0,
SMA10-4589,"Suicide Prevention Dialogue with Consumers and Survivors: From Pain to Promise",Report,,,"01/01/2011 - 07:00",,0,0,0,100,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA10-4591,"Treating Clients With Traumatic Brain Injury",Advisory,,,"02/01/2011 - 07:00",,0,0,0,5,Published,"ELECTRONIC ONLY","Download Only",0,
SMA10-4615KOREAN,"Anger Management for Substance Abuse and Mental Health Clients: A Cognitive Behavioral Therapy Manual (Korean Version)",,,,"04/01/2008 - 08:00",,0,0,0,25,"Not Published","ELECTRONIC ONLY","Download Only",0,
SMA10-4616KOREAN,"Anger Management for Substance Abuse and Mental Health Clients: Participant Workbook (Korean Version)",,,,"01/01/2010 - 07:00",,0,0,0,25,"Not Published","ELECTRONIC ONLY","Download Only",0,
SMA10-4617,"Clients With Substance Use and Eating Disorders",Advisory,,,"02/01/2011 - 07:00",,0,0,0,5,Published,"ELECTRONIC ONLY","Download Only",0,
SMA11-4442CHINESE,"The Facts about Buprenorphine for Treatment of Opioid Addiction (Chinese Version)",Brochure,,,"06/01/2012 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA11-4442RUSSIAN,"The Facts about Buprenorphine for Treatment of Opioid Addiction (Russian Version)",Brochure,,,"06/01/2013 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA11-4442VIETNAMESE,"The Facts about Buprenorphine for Treatment of Opioid Addiction (Vietnamese Version)",Brochure,,,"06/01/2013 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA11-4627,"Disaster Training and Technical Assistance",Brochure,,,"04/01/2011 - 08:00",,0,0,0,5,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA11-4631,"Treatment of Depression in Older Adults Evidence-Based Practices (EBP) KIT",Kit,,,"09/01/2011 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA11-4631CD-DVD,"Treatment of Depression in Older Adults Evidence-Based Practices (EBP) KIT",,,,"09/01/2011 - 08:00",,0,0,0,25,"Not Published","OUT OF STOCK",External,0,
SMA11-4633,"Consumer-Operated Services Evidence-Based Practices (EBP) KIT",Kit,,,"06/01/2011 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA11-4633CD-DVD,"Consumer-Operated Services Evidence-Based Practices (EBP) KIT",,,,"06/01/2011 - 08:00",,0,0,0,25,"Not Published","OUT OF STOCK",External,0,
SMA11-4634,"Interventions for Disruptive Behavior Disorders Evidence-Based Practices (EBP) KIT",Kit,,,"07/01/2011 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA11-4634CD-DVD,"Interventions for Disruptive Behavior Disorders Evidence-Based Practices (EBP) KIT",,,,"07/01/2011 - 08:00",,0,0,0,25,"Not Published","OUT OF STOCK",External,0,
SMA11-4636ADMIN,"Tobacco Use Cessation Policies in Substance Abuse Treatment: Administrative Issues",Advisory,,,"04/01/2011 - 08:00",,0,0,0,5,Published,"ELECTRONIC ONLY","Download Only",0,
SMA11-4636CLIN,"Tobacco Use Cessation During Substance Abuse Treatment Counseling",Advisory,,,"04/01/2011 - 08:00",,0,0,0,5,Published,"ELECTRONIC ONLY","Download Only",0,
SMA11-4638,"Minority Fellowship Program",Brochure,,,"09/01/2011 - 08:00",,0,0,0,100,Published,"ELECTRONIC ONLY","Download Only",0,
SMA11-4640,"Recommendations for Reporting on Suicide","Fact Sheet",,,"05/01/2011 - 08:00",,0,0,0,25,Published,"ELECTRONIC ONLY","Download Only",0,
SMA11-4642,"Helping Children and Youth Who Have Experienced Traumatic Events",Report,,,"05/01/2011 - 08:00",,0,0,0,50,Published,"ELECTRONIC ONLY","Download Only",0,
SMA11-4643,"Medication-Assisted Treatment for Opioid Addiction 2010 State Profiles",,,,"06/01/2011 - 08:00",,0,0,0,0,"Not Published","OUT OF STOCK",None,0,
SMA11-4648,"Substance Use Disorders in People with Physical and Sensory Disabilities","Resource Guide",,,"08/01/2011 - 08:00",,0,0,0,25,Published,"ELECTRONIC ONLY","Download Only",0,
SMA11-4654,"Supported Education Evidence-Based Practices (EBP) KIT",Kit,,,"08/01/2012 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA11-4654CD-ROM,"Supported Education Evidence-Based Practices (EBP) KIT",,,,"08/01/2012 - 08:00",,0,0,0,25,"Not Published","ELECTRONIC ONLY","Download Only",0,
SMA11-4656,"TIP 53: Addressing Viral Hepatitis in People With Substance Use Disorders","Guidelines or Manual",,,"12/01/2011 - 07:00",,0,0,0,5,Published,"ELECTRONIC ONLY","Download Only",0,
SMA11-4664,"Group Therapy Inservice Training","Training Manual",,,"10/01/2012 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA11-DISASTER,"SAMHSA's Disaster Kit",Kit,,,"01/01/2011 - 07:00",,1452,108,1560,15,Published,"IN STOCK",External,7.34,"B-20A, C-4B, C-5B, C-6B, D-13A, D-13B, D-18B, D-28B, Pick Area, Pick Area"
SMA12-3390,"TIP 25: Substance Abuse Treatment and Domestic Violence","Guidelines or Manual",CSAT,,"01/01/2012 - 07:00",,0,0,0,,Published,"ELECTRONIC ONLY","Download Only",0,
SMA12-3581,"A Guide to Substance Abuse Services for Primary Care Clinicians","Guidelines or Manual",,,"12/01/2012 - 07:00",,0,0,0,50,Published,"ELECTRONIC ONLY","Download Only",0,
SMA12-3923,"TIP 36: Substance Abuse Treatment for Persons with Child Abuse and Neglect Issues","Guidelines or Manual",,,"01/01/2012 - 07:00",,0,0,0,,Published,"ELECTRONIC ONLY","Download Only",0,
SMA12-3952,"TIP 34: Brief Interventions and Brief Therapies for Substance Abuse","Guidelines or Manual",,,"09/01/2012 - 08:00",,0,0,0,50,Published,"ELECTRONIC ONLY","Download Only",0,
SMA12-4078,"TIP 29: Substance Use Disorder Treatment for People With Physical and Cognitive Disabilities","Guidelines or Manual",,,"07/01/2012 - 08:00",,0,0,0,5,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA12-4079,"TIP 31: Screening and Assessing Adolescents for Substance Use Disorders","Guidelines or Manual",,,"06/01/2012 - 08:00",,0,0,0,5,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA12-4097,"Enhancing Motivation for Change in Substance Abuse Treatment","Guidelines or Manual",,,"12/01/2012 - 07:00",,0,0,0,50,Published,"ELECTRONIC ONLY","Download Only",0,
SMA12-4104,"A Provider's Introduction to Substance Abuse Treatment for Lesbian, Gay, Bisexual, and Transgender Individuals","Guidelines or Manual",,,"08/01/2012 - 08:00",,0,0,0,20,Published,"ELECTRONIC ONLY","Download Only",0,
SMA12-4108,"Medication-Assisted Treatment for Opioid Addiction in Opioid Treatment Programs","Guidelines or Manual",,,"01/01/2012 - 07:00",,0,0,0,100,Published,"ELECTRONIC ONLY","Download Only",0,
SMA12-4133,"Helping Yourself Heal: A Woman's Guide to Coping With the Effects of Childhood Abuse Issues (Spanish Version)",Brochure,,,"02/01/2012 - 07:00",,0,0,0,100,Published,"ELECTRONIC ONLY","Download Only",0,
SMA12-4137,"TIP 37: Substance Abuse Treatment for Persons With HIV/AIDS","Guidelines or Manual",,,"07/01/2012 - 08:00",,0,0,0,5,Published,"ELECTRONIC ONLY","Download Only",0,
SMA12-4151,"TIP 46: Substance Abuse: Administrative Issues in Outpatient Treatment","Guidelines or Manual",,,"12/01/2012 - 07:00",,0,0,0,50,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA12-4159,"Alcohol and Drug Addiction Happens in the Best of Families",Brochure,,,"09/01/2012 - 08:00",,0,0,0,200,Published,"ELECTRONIC ONLY","Download Only",0,
SMA12-4160,"It Feels So Bad",Brochure,,,"09/01/2012 - 08:00",,0,0,0,250,Published,"ELECTRONIC ONLY","Download Only",0,
SMA12-4170,"Motivation for Change  Based on TIP 35 (Spanish Version)","Comic Book",,,"05/01/2012 - 08:00",,0,0,0,50,Published,"ELECTRONIC ONLY","Download Only",0,
SMA12-4175,"Prescription Medications: Misuse, Abuse, Dependence, and Addiction",Advisory,,,"05/01/2012 - 08:00",,0,0,0,100,Published,"ELECTRONIC ONLY","Download Only",0,
SMA12-4181,"Drugs, Alcohol and HIV/AIDS: A Consumer Guide (Spanish Version)",Brochure,,,"07/01/2014 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA12-4202,"Se siente tan mal: Abuso de sustancias y la familia",Brochure,,,"01/01/2012 - 07:00",,24137,0,24137,100,Published,"IN STOCK",External,1,"D-21B, Pick Area"
SMA12-4216,"TIP 38: Integrating Substance Abuse Treatment and Vocational Services","Guidelines or Manual",,,"11/01/2012 - 08:00",,0,0,0,100,Published,"OUT OF STOCK",External,0.01,"Pick Area, Pick Area"
SMA12-4448,"2010 Town Hall Meetings: Mobilizing Communities To Prevent and Reduce Underage Alcohol Use",Report,,,"04/01/2012 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA12-4668,"TAP 32: Clinical Drug Testing in Primary Care","Guidelines or Manual",,,"05/01/2012 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA12-4669,"Preventing Suicide: A Toolkit for High Schools",Kit,,,"06/01/2012 - 08:00",,708,40,748,10,Published,"IN STOCK",External,3,"A-43A, A-47B, A-49B, A-52B, Pick Area"
SMA12-4670,"Behavioral Health Issues Among Afghanistan and Iraq U.S. War Veterans","Resource Guide",,,"08/01/2012 - 08:00",,0,0,0,5,Published,"ELECTRONIC ONLY","Download Only",0,
SMA12-4676B1,"Talking to Your Kids About Prescription Drug Abuse: Not Worth the Risk (for Parents)",Brochure,,,"12/01/2012 - 07:00",,0,0,0,25,Published,"ELECTRONIC ONLY","Download Only",0,
SMA12-4677B2,"Prescription Drugs: They Can Help But Also Hurt: Not Worth the Risk (for Teens)",Brochure,,,"12/01/2012 - 07:00",,0,0,0,25,Published,"ELECTRONIC ONLY","Download Only",0,
SMA12-4678B3,"You're in Control: Using Prescription Medicine Responsibly: Not Worth the Risk (for College Students)",Brochure,,,"12/01/2012 - 07:00",,0,0,0,100,Published,"ELECTRONIC ONLY","Download Only",0,
SMA12-4678B3FLYER,"You're in Control: Using Prescription Medicine Responsibly: Not Worth the Risk (Flyer)",Flyer,,,"12/01/2012 - 07:00",,0,0,0,100,Published,"ELECTRONIC ONLY","Download Only",0,
SMA12-4678B3POSTER,"You're in Control: Using Prescription Medicine Responsibly: Not Worth the Risk (Poster)",Poster,,,"12/01/2012 - 07:00",,0,0,0,100,Published,"ELECTRONIC ONLY","Download Only",0,
SMA12-4682,"Advisory: An Introduction to Extended-Release Injectable Naltrexone for the Treatment of People with Opioid Dependence",Advisory,,,"02/01/2012 - 07:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA12-4684,"Top Health Issues for LGBT Populations",Kit,,,"03/01/2012 - 07:00",,0,0,0,1,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA12-4688,"Pharmacologic Guidelines for Treating Individuals with Post-Traumatic Stress Disorder and Co-Occurring Opioid Use Disorders","Guidelines or Manual",,,"05/01/2012 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA12-4689,"General Principles for the Use of Pharmacological Agents to Treat Individuals with Co-Occurring Mental and Substance Use Disorders","Guidelines or Manual",,,"05/01/2012 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA12-4698,"Using Matrix with Women Clients: A Supplement to the Matrix Intensive Outpatient Treatment for People with Stimulant Use Disorders","Guidelines or Manual",,,"08/01/2012 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA12-4700,"Identifying Mental Health and Substance Use Problems of Children and Adolescents: A Guide for Child-Serving Organizations","Guidelines or Manual",,,"04/01/2012 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",1,A-2B
SMA12-4701,"2000-2010 National Admissions to Substance Abuse Treatment Services",,,,"03/01/2013 - 07:00",,0,0,0,0,"Not Published","ELECTRONIC ONLY","Download Only",0,
SMA12-4711DVD,"Stories Of Hope And Recovery: A Video Guide for Suicide Attempt Survivors",Video,,,"08/01/2012 - 08:00",,0,0,0,5,Published,"OUT OF STOCK",None,0,
SMA12-4713,"Results from the 2011 National Survey on Drug Use and Health: Summary of National Findings","Series Report",,,"09/01/2012 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA12-4724,"Data-Based Planning for Effective Prevention",Report,,,"10/01/2012 - 08:00",,3587,1,3588,1,Published,"IN STOCK",External,1,"D-29B, Pick Area"
SMA12-4725,"Results from the 2011 National Survey on Drug Use and Health: Mental Health Findings","Series Report",,,"11/01/2012 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA12-4726,"Supporting Infants, Toddlers and Families Impacted by Caregiver Mental Health Problems, Substance Abuse, and Trauma","Guidelines or Manual",,,"10/01/2012 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA12-4729,"State Admissions to Substance Abuse Treatment: 2000-2010",,,,"01/01/2012 - 07:00",,0,0,0,0,"Not Published","ELECTRONIC ONLY","Download Only",0,
SMA12-4730,"Data on Substance Abuse Treatment Facilities 2011",,,,"01/01/2013 - 07:00",,0,0,0,0,"Not Published","ELECTRONIC ONLY","Download Only",0,
SMA12-4732,"Tips for Talking With and Helping Children and Youth Cope After a Disaster or Traumatic Event: A Guide for Parents, Caregivers, and Teachers","Fact Sheet",,,"11/01/2012 - 08:00",,586,298,884,25,Published,"IN STOCK",External,0.01,"Pick Area, Pick Area, Pick Area"
SMA12-4732SPANISH,"Sugerencias para hablar con niños y jóvenes y ayudarlos a hacer frente después de un desástre o un evento traumático: una guía para padres, cuidadores y maestros","Fact Sheet",,,"02/01/2013 - 07:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA13-3992,"TIP 42: Substance Abuse Treatment for Persons With Co-Occurring Disorders",,,,"07/01/2013 - 08:00",,0,0,0,10,"Not Published","OUT OF STOCK",External,0,"Pick Area"
SMA13-4056,"TIP 44: Substance Abuse Treatment for Adults in the Criminal Justice System","Guidelines or Manual",,,"09/01/2013 - 08:00",,0,0,0,100,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA13-4098,"What is Substance Abuse Treatment?  A Booklet for Families (Spanish version)",Brochure,,,"10/01/2013 - 08:00",,0,0,0,100,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA13-4152,"Matrix Intensive Outpatient Treatment for People With Stimulant Use Disorders: Counselor's Treatment Manual","Guidelines or Manual",,,"10/01/2013 - 08:00",,0,0,0,10,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA13-4182,"TIP 47: Substance Abuse: Clinical Issues in Intensive Outpatient Treatment","Guidelines or Manual",,,"12/01/2013 - 07:00",,0,0,0,10,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA13-4212,"TIP 35: Enhancing Motivation for Change in Substance Abuse Treatment",,,,"01/01/2013 - 07:00",,0,0,0,10,"Not Published","OUT OF STOCK",External,0,
SMA13-4243,"TAP 21-A: Competencies for Substance Abuse Treatment Clinical Supervisors","Guidelines or Manual",,,"01/01/2013 - 07:00",,0,0,0,25,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA13-4353,"TIP 48: Managing Depressive Symptoms in Substance Abuse Clients During Early Recovery","Guidelines or Manual",,,"01/01/2013 - 07:00",,0,0,0,25,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA13-4380,"TIP 49: Incorporating Alcohol Pharmacotherapies Into Medical Practice","Guidelines or Manual",,,"05/01/2013 - 08:00",,0,0,0,5,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA13-4671,"TIP 54: Managing Chronic Pain in Adults With or in Recovery From Substance Use Disorders","Guidelines or Manual",,,"01/01/2012 - 07:00",,0,0,0,5,Published,"ELECTRONIC ONLY","Download Only",0,
SMA13-4712,"People Recover","Comic Book",,,"05/01/2013 - 08:00",,0,0,0,5,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA13-4725,"Mental Health in My Community: Information Graphic",Poster,,,"02/01/2013 - 07:00",,126,2,128,1,Published,"IN STOCK",External,0.5,"D-26A, Pick Area"
SMA13-4725SPAN,"La salud mental en mi comunidad: Gráfico informativo",Poster,,,"02/01/2014 - 07:00",,815,0,815,1,Published,"IN STOCK",External,0.5,"D-26A, Pick Area"
SMA13-4735,"Facilitating Cross-System Collaboration: A Primer on Child Welfare, Alcohol and Other Drug Services, and Courts","Guidelines or Manual",,,"01/01/2013 - 07:00",,0,0,0,25,Published,"ELECTRONIC ONLY","Download Only",0,
SMA13-4739,"One Voice, One Community: Building Strong and Effective Partnerships Among Community and Faith Organizations","Guidelines or Manual",,,"06/01/2013 - 08:00",,0,0,0,5,Published,"ELECTRONIC ONLY","Download Only",0,
SMA13-4741,"TAP 33: Systems-Level Implementation of Screening, Brief Intervention, and Referral to Treatment (SBIRT)","Guidelines or Manual",,,"05/01/2013 - 08:00",,0,0,0,5,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA13-4755,"Talk. They Hear You. Underage Drinking Prevention Campaign",,,,"05/01/2013 - 08:00",,0,0,0,1,"Not Published","OUT OF STOCK",None,0,
SMA13-4755-CAMP,"Talk. They Hear You: Underage Drinking Prevention National Media Campaign - You've just said ""yes"" to summer camp",,,,"08/01/2015 - 08:00",,0,0,0,0,"Not Published","ELECTRONIC ONLY","Download Only",0,
SMA13-4755-CAMP-FL,"Talk. They Hear You: Underage Drinking Prevention National Media Campaign - You've just said ""yes"" to summer camp (Flyer)",,,,"08/01/2015 - 08:00",,0,0,0,100,"Not Published","OUT OF STOCK",None,0,
SMA13-4755-CAMP-PC,"Talk. They Hear You: Underage Drinking Prevention National Media Campaign - You've just said ""yes"" to summer camp (Post Card)",,,,"08/01/2015 - 08:00",,0,0,0,100,"Not Published","OUT OF STOCK",None,0,
SMA13-4755-CAMP-TT,"Talk. They Hear You: Underage Drinking Prevention National Media Campaign - You've just said ""yes"" to summer camp (Table Top Display)","Campaign or Initiative",,,"08/01/2015 - 08:00",,3013,0,3013,100,Published,"IN STOCK",External,0.2,"B-3A, Pick Area"
SMA13-4755-CAMP-WC,"Talk. They Hear You: Underage Drinking Prevention National Media Campaign - You've just said ""yes"" to summer camp (Wallet Card)",,,,"08/01/2015 - 08:00",,0,0,0,100,"Not Published","OUT OF STOCK",None,0,
SMA13-4755-CHORES,"Talk. They Hear You. Underage Drinking Prevention Campaign DVD - Chores",,,,"08/01/2015 - 08:00",,0,0,0,1,"Not Published","OUT OF STOCK",None,0,
SMA13-4755-DAD,"Talk. They Hear You: Underage Drinking Prevention National Media Campaign - While time with Dad is still his idea of fun",,,,"08/01/2015 - 08:00",,0,0,0,0,"Not Published","ELECTRONIC ONLY","Download Only",0,
SMA13-4755-DAD-FL,"Talk. They Hear You: Underage Drinking Prevention National Media Campaign - While time with Dad is still his idea of fun (Flyer)",,,,"08/01/2015 - 08:00",,0,0,0,100,"Not Published","OUT OF STOCK",None,0,
SMA13-4755-DAD-PC,"Talk. They Hear You: Underage Drinking Prevention National Media Campaign - While time with Dad is still his idea of fun (Post Card)",,,,"08/01/2015 - 08:00",,0,0,0,100,"Not Published","OUT OF STOCK",None,0,
SMA13-4755-DAD-TT,"Talk. They Hear You: Underage Drinking Prevention National Media Campaign - While time with Dad is still his idea of fun (Table Top Display)",,,,"08/01/2015 - 08:00",,0,0,0,100,"Not Published","OUT OF STOCK",None,0.2,B-3A
SMA13-4755-DAD-WC,"Talk. They Hear You: Underage Drinking Prevention National Media Campaign - While time with Dad is still his idea of fun (Wallet Card)",,,,"08/01/2015 - 08:00",,0,0,0,0,"Not Published","OUT OF STOCK",None,0,
SMA13-4755-DIN-MOM,"Talk. They Hear You: Underage Drinking Prevention Campaign DVD - Dinner - Moms",,,,"08/01/2015 - 08:00",,0,0,0,1,"Not Published","OUT OF STOCK",None,0,
SMA13-4755-DINNER-NA,"Talk. They Hear You. Underage Drinking Prevention Campaign DVD - Dinner - Asian American",,,,"08/01/2015 - 08:00",,0,0,0,1,"Not Published","OUT OF STOCK",None,0,
SMA13-4755-ERRANDS,"Talk. They Hear You. Underage Drinking Prevention Campaign DVD - Errands",,,,"08/01/2015 - 08:00",,0,0,0,1,"Not Published","OUT OF STOCK",None,0,
SMA13-4755-FAMILY,"Talk. They Hear You. Underage Drinking Prevention Campaign DVD - Family Dinner",,,,"08/01/2015 - 08:00",,0,0,0,1,"Not Published","OUT OF STOCK",None,0,
SMA13-4755-GOALIE,"Talk. They Hear You: Underage Drinking Prevention National Media Campaign - In the game of life, you're her goalie",,,,"08/01/2015 - 08:00",,0,0,0,0,"Not Published","ELECTRONIC ONLY","Download Only",0,
SMA13-4755-GOALIE-FL,"Talk. They Hear You: Underage Drinking Prevention National Media Campaign - In the game of life, you're her goalie (Flyer)",,,,"08/01/2015 - 08:00",,0,0,0,100,"Not Published","OUT OF STOCK",None,0,
SMA13-4755-GOALIE-PC,"Talk. They Hear You: Underage Drinking Prevention National Media Campaign - In the game of life, you're her goalie (Post Card)",,,,"08/01/2015 - 08:00",,0,0,0,100,"Not Published","OUT OF STOCK",None,0,
SMA13-4755-GOALIE-TT,"Talk. They Hear You: Underage Drinking Prevention National Media Campaign - In the game of life, you're her goalie (Table Top Display)","Campaign or Initiative",,,"08/01/2015 - 08:00",,1183,0,1183,100,Published,"IN STOCK",External,0.2,"B-3A, Pick Area"
SMA13-4755-GOALIE-WC,"Talk. They Hear You: Underage Drinking Prevention National Media Campaign - In the game of life, you're her goalie Wallet Card Goalie (Wallet Card)",,,,"08/01/2015 - 08:00",,0,0,0,100,"Not Published","OUT OF STOCK",None,0,
SMA13-4755-HEALTH,"Talk. They Hear You: Underage Drinking Prevention National Media Campaign - While they're making healthy choices",,,,"08/01/2015 - 08:00",,0,0,0,0,"Not Published","ELECTRONIC ONLY","Download Only",0,
SMA13-4755-HEALTH-FL,"Talk. They Hear You: Underage Drinking Prevention National Media Campaign - While they're making healthy choices (Flyer)",,,,"08/01/2015 - 08:00",,0,0,0,0,"Not Published","OUT OF STOCK",None,0,
SMA13-4755-HEALTH-PC,"Talk. They Hear You: Underage Drinking Prevention National Media Campaign - While they're making healthy choices (Post Card)",,,,"08/01/2015 - 08:00",,0,0,0,100,"Not Published","OUT OF STOCK",None,0,
SMA13-4755-HEALTH-TT,"Talk. They Hear You: Underage Drinking Prevention National Media Campaign - While they're making healthy choices (Table Top Display)","Campaign or Initiative",,,"08/01/2015 - 08:00",,229,0,229,100,Published,"IN STOCK",External,0.2,"B-3A, Pick Area"
SMA13-4755-HEALTH-WC,"Talk. They Hear You: Underage Drinking Prevention National Media Campaign - While they're making healthy choices (Wallet Card)",,,,"08/01/2015 - 08:00",,0,0,0,100,"Not Published","OUT OF STOCK",None,0,
SMA13-4755-PEER,"Talk. They Hear You: Underage Drinking Prevention National Media Campaign - Before she starts buying into peer pressure",,,,"08/01/2015 - 08:00",,0,0,0,0,"Not Published","ELECTRONIC ONLY","Download Only",0,
SMA13-4755-PEER-FL,"Talk. They Hear You: Underage Drinking Prevention National Media Campaign - Before she starts buying into peer pressure (Flyer)",,,,"08/01/2015 - 08:00",,0,0,0,100,"Not Published","OUT OF STOCK",None,0,
SMA13-4755-PEER-PC,"Talk. They Hear You: Underage Drinking Prevention National Media Campaign - Before she starts buying into peer pressure (Post Card)",,,,"08/01/2015 - 08:00",,0,0,0,100,"Not Published","OUT OF STOCK",None,0,
SMA13-4755-PEER-TT,"Talk. They Hear You: Underage Drinking Prevention National Media Campaign - Before she starts buying into peer pressure (Table Top Display)",,,,"08/01/2015 - 08:00",,0,0,0,100,"Not Published","OUT OF STOCK",None,0,
SMA13-4755-PEER-WC,"Talk. They Hear You: Underage Drinking Prevention National Media Campaign - Before she starts buying into peer pressure (Wallet Card)",,,,"08/01/2015 - 08:00",,0,0,0,100,"Not Published","OUT OF STOCK",None,0,
SMA13-4755-SCHOOL,"Talk. They Hear You: Underage Drinking Prevention National Media Campaign - School's out, hanging with friends is ""in"".",,,,"08/01/2015 - 08:00",,0,0,0,0,"Not Published","ELECTRONIC ONLY","Download Only",0,
SMA13-4755-SCHOOL-FL,"Talk. They Hear You: Underage Drinking Prevention National Media Campaign - School's out, hanging with friends is ""in"".  (Flyer)",,,,"08/01/2015 - 08:00",,0,0,0,100,"Not Published","OUT OF STOCK",None,0,
SMA13-4755-SCHOOL-PC,"Talk. They Hear You: Underage Drinking Prevention National Media Campaign - School's out, hanging with friends is ""in"". (Post Card)",,,,"08/01/2015 - 08:00",,0,0,0,100,"Not Published","OUT OF STOCK",None,0,
SMA13-4755-SCHOOL-TT,"Talk. They Hear You: Underage Drinking Prevention National Media Campaign - School's out, hanging with friends is ""in"". (Table Top Display)",,,,"08/01/2015 - 08:00",,0,0,0,100,"Not Published","OUT OF STOCK",None,0,
SMA13-4755-SCHOOL-WC,"Talk. They Hear You: Underage Drinking Prevention National Media Campaign - School's out, hanging with friends is ""in"". (Wallet Card)",,,,"08/01/2015 - 08:00",,0,0,0,100,"Not Published","OUT OF STOCK",None,0,
SMA13-4755-SHOPPING,"Talk. They Hear You. Underage Drinking Prevention Campaign DVD - Shopping",,,,"08/01/2015 - 08:00",,0,0,0,1,"Not Published","OUT OF STOCK",None,0,
SMA13-4755-TRUCK,"Talk. They Hear You: Underage Drinking Prevention National Media Campaign - Before she starts asking for the truck keys",,,,"08/01/2015 - 08:00",,0,0,0,0,"Not Published","ELECTRONIC ONLY","Download Only",0,
SMA13-4755-TRUCK-FL,"Talk. They Hear You: Underage Drinking Prevention National Media Campaign - Before she starts asking for the truck keys (Flyer)",,,,"08/01/2015 - 08:00",,0,0,0,100,"Not Published","OUT OF STOCK",None,0,
SMA13-4755-TRUCK-PC,"Talk. They Hear You: Underage Drinking Prevention National Media Campaign - Before she starts asking for the truck keys (Post Card)",,,,"08/01/2015 - 08:00",,0,0,0,100,"Not Published","OUT OF STOCK",None,0,
SMA13-4755-TRUCK-TT,"Talk. They Hear You: Underage Drinking Prevention National Media Campaign - Before she starts asking for the truck keys (Table Top Display)","Campaign or Initiative",,,"08/01/2015 - 08:00",,962,0,962,100,Published,"IN STOCK",External,0.2,"B-3A, Pick Area"
SMA13-4755-TRUCK-WC,"Talk. They Hear You: Underage Drinking Prevention National Media Campaign - Before she starts asking for the truck keys (Wallet Card)",,,,"08/01/2015 - 08:00",,0,0,0,100,"Not Published","OUT OF STOCK",None,0,
